statecode,male-percentage,female-percentage,p-value
00,71.65011794931502,76.46426421106435,0.8897365908747988
01,45.26420709260613,56.81195599121451,0.015272826485052148
02,80.3563771567774,83.48259644801578,0.4345191860066596
03,50.24283332758404,56.11189913089054,0.7924527849993311
04,44.391497305666114,45.86583036182541,0.15836259437241973
05,80.87182909793796,84.33886987197585,0.5146073220606588
06,75.85987986128515,80.01374409533558,0.6964590040523349
07,57.8021538330756,61.22413425095329,0.5035965032921885
08,87.6517668407443,90.65604483256882,0.4077141471875433
09,87.26086903672274,89.96798876127744,0.3466560863811855
10,82.60166608088775,85.31091975830817,0.3470726913009635
11,33.964775435664095,38.90270497761794,0.9270993901214418
12,32.98711886058786,39.15752857132193,0.7055099173476473
13,35.40236705447427,40.470491784373486,0.9665702588310008
14,47.15039629191442,55.66402391180405,0.20397637073993502
15,68.63825519187378,74.9866664698164,0.6558249225281007
16,61.93405165238991,69.15313404918254,0.43699446374170636
17,70.4336681342135,74.15421912509143,0.5788047072388061
18,49.93925446453807,57.54532598399346,0.3551413848118925
19,81.23793942565821,85.9592559782642,0.8618720893362559
20,67.66620113092993,71.81120300334685,0.693964931513223
21,62.9193495647963,71.2965876928913,0.22308709861997733
22,85.81285828334137,87.70008864640812,0.21007882578818282
23,85.44439418311656,87.62232038535575,0.2531890556614469
24,52.17802653815694,62.57966925462492,0.04666242085720722
25,52.588472465253055,51.18778645665225,0.15025018010349755
26,41.57153179190751,42.79921840092298,0.13244369623371552
27,44.997805403617555,53.10492675057342,0.26464190486156003
28,71.26914364792016,77.71797095164293,0.6284368875357834
29,57.91316770163469,62.76065232283966,0.8997788951237963
30,20.531428416808723,25.10922220446063,0.8191394197657753
31,65.7700087552456,76.98564593301435,0.021484507658138374
32,73.21389130072903,77.72975908541568,0.8008583450135035
33,69.5585571687401,73.85282951746443,0.7363953380996785
34,65.13009562277249,71.87626880187335,0.5503926779813385
35,29.818456063212583,35.261380901468684,0.91968399600316
