statecode,urban-percentage,rural-percentage,p-value
00,26.974288471183012,15.263288902255665,0.397519788656682
01,34.32487427335445,31.933408431652843,0.30911149069088806
02,28.279345641287808,11.345455428631569,0.05872967120629246
03,22.62686762932264,16.445332247244497,0.7953396439463255
04,24.411203954566137,25.421682591148976,0.19595121121353576
05,26.40946985870376,10.865780847792951,0.10690001944977329
06,25.58458095319632,13.292914643142717,0.3359767206405022
07,32.78010329222509,22.250514268259504,0.5419457750524512
08,16.593746453047366,7.063095413406106,0.6816834021538922
09,23.908036718590555,6.213120088287924,0.04111634759979539
10,20.51053511068534,13.718197971276947,0.8908153610118263
11,33.561447603172326,34.147558309755595,0.16819956440923634
12,31.901036333101217,34.336498624289405,0.3133140821869401
13,33.78204656669574,35.47745848063567,0.2475820935945784
14,22.77840782397495,28.77836805761659,0.7674719037522244
15,26.521981702464796,20.000951592490033,0.8481245951135197
16,19.00831345890023,32.71077514761486,0.2134299360914641
17,33.08321437568226,14.775627793925967,0.030400025939562342
18,29.455419545840417,32.8737785761752,0.41691029697093696
19,20.074693563764924,10.138623970144435,0.6232724591764358
20,29.642177212553893,24.17134845306577,0.6880766712924093
21,23.265248892863955,19.07412297234457,0.5109862282718842
22,17.925610852320702,9.67651863444649,0.8776414811490387
23,18.855127992085468,9.069353958197784,0.6446760206610336
24,34.5880337616313,24.26040310758366,0.5690182053247017
25,33.38073075892393,34.753957215709654,0.22221740826756486
26,35.36411469846508,38.59562895245585,0.3957995329448807
27,38.1544731786266,29.738239966376025,0.851367158899861
28,23.877600523759195,15.082795051150159,0.7925059401600403
29,32.70216044536091,23.20368109015012,0.6864073449665427
30,25.787206637744898,27.379465717895137,0.2392496399146069
31,14.050703329889533,10.607453503995474,0.41977187572104424
32,15.823393218142337,14.041033968314022,0.2547616175201609
33,29.920174560334324,20.203682071169734,0.6546438803368637
34,28.692364612027166,19.21862348178138,0.6900481547458366
35,48.960888715432645,48.27810184189327,0.1742465204278868
