statecode,urban-percentage,rural-percentage,p-value
00,13.424759674746731,4.243962545210197,0.9052710681075555
01,24.393736299392817,13.819891392898159,0.7329244771423931
02,9.653446653266565,4.546870572615183,0.595450727916179
03,34.60902462567599,24.393583742615395,0.7763629966782943
04,30.943856500844163,15.01500465661757,0.23188367956934886
05,3.843817904082788,1.0034313141737177,0.37213653749130815
06,6.871713663593377,3.4099870261468053,0.4275702908779737
07,8.264202742041478,1.3063129710148387,0.8137319314193121
08,2.33013854635286,1.1835006486945954,0.24495867233109458
09,2.9617128534012864,0.8162955315248313,0.31569361182311284
10,3.5711466968577015,1.3673991381290627,0.32020276466194186
11,41.168656969097135,25.859137547346933,0.27276437455180014
12,39.71307846702104,27.43112538190739,0.5393924871960261
13,40.50941737336374,21.753333484898434,0.09965095627657274
14,28.85977888974938,18.602866979284148,0.7712978340909132
15,6.094922617621391,3.4480002283821976,0.3558291423808202
16,9.059621219133957,4.109658229565443,0.5782530089133422
17,25.464438659837096,5.199501231109044,0.0591260203399653
18,31.445056111775223,11.076842742095227,0.05694526643882612
19,7.62014865293035,1.067934633635984,0.7639241607936531
20,8.330164106893921,3.720611789875847,0.5417002173535006
21,30.90118932169141,9.611126638456655,0.040287104512975576
22,3.791763744650921,1.006953247204031,0.3674051857822792
23,3.464053867067808,1.0707111789615789,0.33514859534703234
24,21.51588713075813,8.737057679479829,0.4883105116340304
25,14.652914121333763,12.929664216173256,0.2843066165286152
26,19.8374793735795,21.65754666491912,0.2913111414253753
27,26.86387583643903,9.865760769603337,0.1719076138269674
28,14.11408417887546,4.189923150298052,0.8121959733198206
29,24.481297311830097,5.466301977336934,0.09143960162661653
30,52.87390798995163,47.44721612524944,0.6313085152178
31,15.842803782881665,14.192772788345945,0.2790856939647802
32,11.474606157568601,7.786231403970034,0.44893056249846097
33,5.379815931523044,1.5274651157855887,0.46475466541914046
34,7.814220530446684,1.2725202429149798,0.7626452435016318
35,24.09400089206066,16.084827472763852,0.9458625477700042
